   id   |   id   | platform |   case   
  96683 |  57318 | admins   | executor
  96683 |  83093 | admins   | executor
  96684 |  57320 | admins   | executor
  96685 |  57321 | admins   | executor
  96686 |  78232 | admins   | executor
  96686 |  57322 | admins   | executor
  96686 |  78146 | admins   | executor
  96687 |  57325 | admins   | executor
  96688 |  57323 | admins   | executor
  96689 |  57324 | admins   | executor
  96690 |  57326 | admins   | executor
  96691 |  57327 | admins   | executor
  96692 |  57328 | admins   | executor
  96693 |  57329 | admins   | executor
  96694 |  57330 | admins   | executor
  96695 |  57331 | admins   | executor
  96696 |  57332 | admins   | executor
  96697 |  57336 | android  | executor
  96698 |  57334 | admins   | executor
  96699 |  57335 | admins   | executor
  96700 |  57337 | admins   | executor
  96701 |  57338 | admins   | executor
  96702 |  57341 | android  | executor
  96703 |  57342 | ios      | executor
  96703 |  57469 | ios      | executor
  96704 |  57339 | admins   | executor
  96705 |  57340 | admins   | executor
  96706 |  57343 | android  | executor
  96707 |  57344 | android  | executor
  96708 |  57345 | admins   | executor
  96709 |  57346 | admins   | executor
  96710 |  57349 | android  | executor
  96711 |  57347 | admins   | executor
  96712 |  57348 | admins   | executor
  96712 | 109380 | admins   | executor
  96713 |  57350 | admins   | executor
  96714 |  57355 | android  | executor
  96715 |  57351 | admins   | executor
  96716 |  57352 | admins   | executor
  96717 |  62441 | admins   | executor
  96717 | 117095 | admins   | executor
  96717 |  57353 | admins   | executor
  96718 |  57354 | admins   | executor
  96719 |  57356 | admins   | executor
  96720 |  57357 | admins   | executor
  96721 |  57358 | admins   | executor
  96721 |  57587 | admins   | executor
  96722 |  57359 | admins   | executor
  96723 |  57360 | admins   | executor
  96724 |  57361 | admins   | executor
  96725 |  57362 | admins   | executor
  96726 |  57363 | admins   | executor
  96727 |  57364 | admins   | executor
  96728 |  57368 | admins   | executor
  96728 |  57365 | admins   | executor
  96729 |  93524 | admins   | executor
